# from	to (tab-separated, longest match first in file; script re-sorts by length)
从五六年到六六年	从1956年到1966年
八老他呢	巴老他呢
八老也是这样	巴老也是这样
八老他走在	巴老他走在
八老，他能从	巴老，他能从
八老当年	巴老当年
八老从五六年	巴老从1956年
八老他应该是	巴老他应该是
八老治股东的心	巴老致股东的信
八老，从五六年	巴老，从1956年
就像八老	就像巴老
当八老	当巴老
读八老	读巴老
蛮个佬	芒格佬
为什么后来建化	为什么后来进化
人礼观	人生观
福包	福报
漫漫雄土	漫漫熊途
潜于	勤于
卤煮老椒	泸州老窖
五三零以后	530以后
糕点卖	高点卖
选择十点	择时
格岭风骚	各领风骚
今言弃之一缕	轻言弃之一缕
今言坚持	轻言坚持
破镜可敬	破净可敬
泰迪孤人的	啼笑皆非的
国戚	国企
一禀	并
炒蛋	扯淡
来报摊	来接盘
老树藏	老鼠仓
蓝宠	蓝筹
废血	费雪
格雷雷姆	格雷厄姆
豪德布朗	霍华德·布朗
赫瓦达布朗	霍华德·布朗
伯格希尔	伯克希尔
巴克西亚撒韦	伯克希尔·哈撒韦
永创	融创
今今	仅仅
八尺块	八十块
灵零零几年	2000几年
罗罗观乐观	乐观
蔡志勇	蔡至勇
崇赏	崇尚
清散的价值	清算的价值
担的木木板	短的那块木板
做胆仙儿	做短线
胆下那个	线下那个
选薪	选股
滋韵	滋养
特别的滋韵	特别的滋养
开信，图	K线图
十九年三次亲金	十九年三次致千金
不应同	不认同
代听	待听
跃薪低位	月线低位
约薪低位	月线低位
月薪地位	月线低位
月心右上角	月线右上角
跃薪高位	月线高位
约薪高位	月线高位
月薪图	月线图
周信图	周K线图
古诗上好多	股市上好多
错落别致	错落有致
股市到雄公司的那个指数	道琼斯指数
道琼斯公司的那个指数	道琼斯指数
凯信是阳	K线是阳
凯信红	K线红
红凯信	红K线
印支	认知
咱古时做	咱们股市里做
咱股市做	咱们股市里做
军信的功能	均线的功能
丁儿定头	定额定投
凯信，图们打开越凯信	K线图，打开越看K线

八老	巴老
月薪	月线
月信	月线
约薪	月线
跃薪	月线
月心	月线
凯信一个人接一个人	K线一根接一根
十来个凯信的耐心	十来根K线的耐心
五六个凯信的耐心	五六根K线的耐心
凯信信象	K线现象
楷信	K线
开线图	K线图
几个凯信	几根K线
印之	认知
印桶	涌入
鼓友	股友
P呃P	PE、P
什么样的开心	什么样的K线
这个凯信	这根K线
那个凯信	那根K线
看这凯信	看这K线
数那个凯信	数那根K线
凯信就是给那些	K线就是给那些
凯信就是现象	K线就是现象
凯信他要不是	K线他要不是
凯信他都	K线他都
凯信改三观	K线改三观
凯信走势	K线走势
凯信，或者是我看着	K线，或者是我看着
凯信，他都	K线，他都
你那个凯信	你那一根K线
根凯信	根K线
根儿凯信	根儿K线
开凯信	开K线
看凯信	看K线
凯信	K线
