# from	to (tab-separated, longest match first in file; script re-sorts by length)
从五六年到六六年	从1956年到1966年
八老他呢	巴老他呢
八老也是这样	巴老也是这样
八老他走在	巴老他走在
八老，他能从	巴老，他能从
八老当年	巴老当年
八老从五六年	巴老从1956年
八老他应该是	巴老他应该是
八老治股东的心	巴老致股东的信
八老，从五六年	巴老，从1956年
就像八老	就像巴老
当八老	当巴老
读八老	读巴老
蛮个佬	芒格佬
为什么后来建化	为什么后来进化
人礼观	人生观
福包	福报
漫漫雄土	漫漫熊途
潜于	勤于
卤煮老椒	泸州老窖
五三零以后	530以后
糕点卖	高点卖
选择十点	择时
格岭风骚	各领风骚
今言弃之一缕	轻言弃之一缕
今言坚持	轻言坚持
破镜可敬	破净可敬
泰迪孤人的	啼笑皆非的
国戚	国企
一禀	并
炒蛋	扯淡
来报摊	来接盘
老树藏	老鼠仓
蓝宠	蓝筹
废血	费雪
格雷雷姆	格雷厄姆
豪德布朗	霍华德·布朗
赫瓦达布朗	霍华德·布朗
伯格希尔	伯克希尔
巴克西亚撒韦	伯克希尔·哈撒韦
永创	融创
今今	仅仅
八尺块	八十块
灵零零几年	2000几年
罗罗观乐观	乐观
蔡志勇	蔡至勇
崇赏	崇尚
清散的价值	清算的价值
担的木木板	短的那块木板
做胆仙儿	做短线
胆下那个	线下那个
选薪	选股
滋韵	滋养
特别的滋韵	特别的滋养
开信，图	K线图
十九年三次亲金	十九年三次致千金
不应同	不认同
代听	待听
跃薪低位	月线低位
约薪低位	月线低位
月薪地位	月线低位
月心右上角	月线右上角
跃薪高位	月线高位
约薪高位	月线高位
月薪图	月线图
周信图	周K线图
古诗上好多	股市上好多
错落别致	错落有致
股市到雄公司的那个指数	道琼斯指数
道琼斯公司的那个指数	道琼斯指数
凯信是阳	K线是阳
凯信红	K线红
红凯信	红K线
印支	认知
咱古时做	咱们股市里做
咱股市做	咱们股市里做
军信的功能	均线的功能
丁儿定头	定额定投
凯信，图们打开越凯信	K线图，打开越看K线
八老	巴老
月薪	月线
月信	月线
约薪	月线
跃薪	月线
月心	月线
凯信一个人接一个人	K线一根接一根
十来个凯信的耐心	十来根K线的耐心
五六个凯信的耐心	五六根K线的耐心
凯信信象	K线现象
楷信	K线
开线图	K线图
几个凯信	几根K线
印之	认知
印桶	涌入
鼓友	股友
P呃P	PE、P
什么样的开心	什么样的K线
这个凯信	这根K线
那个凯信	那根K线
看这凯信	看这K线
数那个凯信	数那根K线
凯信就是给那些	K线就是给那些
凯信就是现象	K线就是现象
凯信他要不是	K线他要不是
凯信他都	K线他都
凯信改三观	K线改三观
凯信走势	K线走势
凯信，或者是我看着	K线，或者是我看着
凯信，他都	K线，他都
你那个凯信	你那一根K线
根凯信	根K线
根儿凯信	根儿K线
开凯信	开K线
看凯信	看K线
凯信	K线
超股	炒股
正钱	挣钱
发佳	发家
血力	学历
货币金融血	货币金融学
比曾逻辑	底层逻辑
信答	信达
中心金融资产	中信金融资产
长相电力	长江电力
负负力	负复利
毛货币	锚货币
均治回归	均值回归
军之回归	均值回归
底层老记	底层逻辑
泡泡马特	泡泡玛特
朝股	炒股
信用和比士大	信用货币时代
无毛社和比士大	无锚信用货币时代
无毛社货币时代	无锚信用货币时代
无锚社货币时代	无锚信用货币时代
信用活力时代	信用货币时代
五毛活力时代	无锚货币时代
五毛国币	无锚货币
美元的毛就没有了	美元的锚就没有了
用自己的货币有毛	用自己的货币有锚
压买家写意	牙买加协议
基础价购的改编	基础架构的改变
债务去动下	债务驱动下
货币发酬权	货币发钞权
货币发酬的名写	货币发钞的名义
经用政策	货币政策
超票就是通常	钞票就是通胀
你超票	你钞票
他的超票	他的钞票
长期通常	长期通胀
有或通常现象	有过通胀现象
通常对信金来讲	通胀对现金来讲
通常环境会不会改革	通胀环境会不会改变
通浪现象	通胀现象
基地P	GDP
也能制覆罚	余额宝支付宝
常在胆在	余额宝
你拿著信金	你拿着现金
比信金那就好	比现金那就好
对信金来讲	对现金来讲
图供38块6	徒工38块6
公子能变成386	工资能变成386
公子的长福	工资的涨幅
五本之梦了五水之元了	无本之木了无源之水了
一穷外白	一穷二白
生涯学了好多东西	虽然学了好多东西
去做忙码	去做忙吗
有或通胀现象	有过通胀现象
抗通放薄行归	抗通胀放银行里
放到薄行归里	放到银行里
抗通这些手	抗通胀这些手段
买成生命起国代	买成十年期国债
福家条件	附加条件
标普500只数基因	标普500指数基金
只数基因	指数基金
分红在投	分红再投
后和基金给解散了	合伙基金给解散了
多看谢玛萨微上	投到伯克希尔哈撒韦上
用病程多少钱	能变成多少钱
能病程多少倍	能变成多少倍
收于率是多少	收益率是多少
戏歌儿叫受受的	习惯叫复盘
黄金拖钩	黄金脱钩
56世辈	50多倍
这样一个背数	这样一个倍数
那你就没发表了	那你就没法比了
一清，接视是，存存的价格之数	即使是单纯的价格指数
房产水啊	房产税啊
因为房水有成本	因为房产税有成本
可以和国在里	可以和国债比
皇帝这个比较	黄金这个比较
追买皇帝	追买黄金
第一次皇帝	第一次黄金
通过归骂法	通过归纳法
不是通过演谊法	不是通过演绎法
你通过归骂法	你通过归纳法
不用花别了不用指闭了	不用法币了不用纸币了
回到金北为时代	回到金本位时代
不看冷的	不看别的
小不时时代	小布什时代
小不时代	小布什时代
就是这个在无总的大概就是	就是这个国债大概就是
世界各国营各国营、样行全这个黄金	世界各国央行、央行把黄金
大多数营航都是用美国的国债做忙	大多数央行都是用美国的国债做锚
利益总统整个就是它美林图打造了	尼克松总统整个就是它美元体系打造了
不林邓森林体系	布雷顿森林体系
就像交易手它专门弄这个计划交易手	就像交易所它专门弄这个期货交易所
这样就争决正面	这样就正确正面
你不要说腰肠去干	你不要说央行去干
最好的公免	最好的公民
做一个书里	做一个梳理
投资傻罪请	投资是怎么回事
没有业员和运气的成分	没有演员和运气的成分
长灵赚钱的长灵赚红的股权	长期赚钱的长期赚红的股权
为什么我们今天讲政府的一切行	为什么我们今天讲股权投资
这就是政府的一切行	这就是股权投资
除非你要几用你有几用	除非你要急用你有急用
这个东西是厨房	这个东西是吃亏
负负力是厨房	负复利是吃亏
你的保险跪离	你的保险柜里
他就升级分钱了	他就剩几分钱了
就是某把挥你就	就是某本书你就
这场西班牙叫做做那个统计	这本书西格尔叫做做那个统计
西班尔他这种西班尔长数	西格尔他这种西格尔常数
西班尔教授讲的这些东西	西格尔教授讲的这些东西
这是保持日这一个手机力	这是保值这一个购买力
能够只小肯死这还算不错	能够只是抗死这还算不错
因为责业没出过果	因为职业没出过国
这大了一只船投资马上就明白了	这大概一指禅投资马上就明白了
你就买指数几金把买红里指数捏画	你就买指数基金把买红利指数年化
政府立前行那个355年	股权投资那个三五十年
你比算长家这给你看看	你比如长江电力这给你看看
这不就是55年	这不就是翻五倍
这是承访	这是乘法
你成天在那下到欧估	你成天在那瞎捣鼓
我们群力不是说我们群力讨论	我们群里不是说我们群里讨论
淡走但用平他买那个泡泡马特	弹总但永平他买那个泡泡玛特
说说这个淡走怎么样	说说这个弹总怎么样
有的也不硬可这个都正常我其实也不硬可一样	有的也不认可这个都正常我其实也不认可一样
我头我是不会头的因为我看不懂当然淡走他也有一些言论他其实第一他头都是管理层	我投我是不会投的因为我看不懂当然弹总他也有一些言论他其实第一他投都是管理层
就是利用远心，在转前	就是利用人心，在赚钱
那就是正人性的钱，就是正经历下孩子也好	那就是挣人性的钱，就是挣给底下孩子也好
正常眼的钱那还已经开毒场一样	挣少年的钱那还已经开赌场一样
一直能让人上眼	一直能让人上瘾
那是银家门看懂一些东西	那是人家能看懂一些东西
买这种自然弄断	买这种自然垄断
这样弄断，就是寻定性	这样垄断，就是稳定性
水是老庭野给的	水是老天爷给的
弄了很多TG订战	弄了很多梯级电站
库水也买年老啊这个汉堡他影响他发电	枯水也买年牢啊这个旱涝他影响他发电
电价肥油不好的地方	电价非油不好的地方
就能去不臭卖	就能去不愁卖
就是收本份	就是守本分
最好就是，阿姨文的	最好就是，安安稳稳的
你从开拳我就跟大家讲我喜欢这种应自产的他本身的静自产	你从开群我就跟大家讲我喜欢这种硬资产的他本身的净资产
是细西相关的	是息息相关的
他的自由心间流控	他的自由现金流况
经营信经流	经营性净现金流
财务费用和折救	财务费用和折旧
九身面带他曾经有一些股东就问说你老爸你怎么没有你你为什么不投委员	就顺便带他曾经有一些股东就问说你巴菲特你怎么没有你你为什么不投微软
弄那么个温度是系统	弄那么个Windows系统
你就像这个长相电力	你就像这个长江电力
告诉我飞我到五年后我就不收了	告诉我费到五年后我就不收了
大的声音模式行业格局在著	大的商业模式行业格局在着
为什么我会买低估物呢，就是因为他越性低位	为什么我会买低估物呢，就是因为他越是低位
你千万不要审化我的作用	你千万不要神化我的作用
看台级篇文章多台级分性你就觉得你就天下不敌了那你太狂忘了太澳满了你看太钢必死用了	看他几篇文章多他几分析你就觉得你就天下无敌了那你太狂妄了太傲慢了你看太刚必自用了
像女儿刘邦蒸霸天下的时候	项羽刘邦争霸天下的时候
毛锤的看问题一人见醒	毛泽东的看问题一针见血
红鲜是这个像于夫银之眼	鸿门宴是这个项羽妇人之仁
能烧阿芳阿芳公能扣杀多少万项组	能烧阿房阿房宫能坑杀多少万项羽
他在红门验能够老天验给他们这么好机会	他在鸿门宴能够老天验给他们这么好机会
像于他是个为族子弟 从小姐于是他把这种增添一下当从来是戏了	项羽他是个贵族子弟 从小娇生惯养他把这种场面当儿戏了
他在红门验的时候他是40万像于10万	他在鸿门宴的时候他是40万项羽10万
例如为木也就是讲的是这个意思其实在毛锤锤看来就是他乔斯塔	意以为谋也就是讲的是这个意思其实在毛泽东看来就是他轻视他
天验利益的	天降利益的
你不下一方苦功夫你不可能	你不下一番苦功夫你不可能
首次叫傻为有什么什么什么没花相是什么	俗话说事为有什么什么什么没法讲是什么
首先把这些大规律弄领吧也后严格按照归律来做	首先把这些大规律弄明白然后严格按照规律来做
就是个归律把这个数据吃透吃透以后要严格是行合意的按照这个归律来做	就是个规律把这个数据吃透吃透以后要严格施行合意的按照这个规律来做
这个归律，他不会骗人	这个规律，他不会骗人
你越新地位满意	你越是低位满意
你越新地位是傻意思	你越是低位是啥意思
企业层量的归律和市场层量的归律的跌价	企业层面的规律和市场层面的规律的叠加
西班尔他这种西班尔长数他做那些数据回复	西格尔他这种西格尔常数他做那些数据回顾
均治回归的归律我们越新地位他一定会有未来会有越新高位	均值回归的规律我们越是低位他一定会有未来会有越是高位
那就是一个版切册的人	那就是一个短期策略的人
这是个版切册的人，是个军之回归	这是个短期策略的人，是个均值回归
收于律律才会高	收益率才会高
长期吹有色列这个长期吹有策略是对的	长期持有策略这个长期持有策略是对的
这个规骂法是很正确的	这个归纳法是很正确的
我曾经善自了那个有一个有一个善息的我有来他曾经在我跟他他就拿了一只	我曾经扇子里那个有一个有一个善息的我有来他曾经在我跟他他就拿了一只
看我的伯阿克，就是我的粉丝	看我的播客，就是我的粉丝
就是工商业行就是你一直拿他也在	就是工商银行就是你一直拿他也在
理别法官的那里头好多朝骨都不行	里边法官的那里头好多炒股都不行
你必须得把你这个系统见换一下	你必须得把你这个系统切换一下
因为我没有工航，好像ed to the ship，到了去不快钱	因为我没有工行，好像也到了去，到了去不赚钱
老虾有个花坦为这么多花坦走步还是跑步	老是有个亏损为这么多亏损是走步还是跑步
这基本这就是满的老曾经说过的就是你长期收益力	这基本这就是巴老曾经说过的就是你长期收益率
基本就是二一，因为你已经把板器市场运气的东西	基本就是ROI，因为你已经把市场运气的东西
一定是二一，其实就是你静自长他这个	一定是ROI，其实就是你净资产他这个
只要拿到静自长你已经得了	只要拿到净资产你已经得了
不是只有共产业	不是只有工行产业
第一位的方向展目，你一定要相信，故事有君之回归，这是归于历	低位的方向上，你一定要相信，股市有均值回归，这是规律
有好几个归有都给我留言	有好几个股友都给我留言
我会把我的楼梯给大家讲	我会把我的逻辑给大家讲
也能应可我的楼梯	也能认可我的逻辑
因为我只传播里面这个就免微去买了	因为我只传播理念这个就免得去买了
我可以六个一根骂大家说一下	我可以跟大家说一下
那一天大家说报告马特	那一天大家说泡泡玛特
我看在权利有一些争论	我看在群里有一些争论
我地儿是做股东的，我地儿是来朝股家的	有的是做股东的，有的是来炒股的
其实他冷凝是做股家的	其实他可能是做投机客的
你还是在做股家就是没通透	你还是在做投机客就是没通透
聊这个信答的半年报其实这个信答首先我定性比如说像常常电类似的水电行业	聊这个信达的半年报其实这个信达首先我定性比如说像长江电力类似的水电行业
就是国家一臂，他是需要这样一个行业	就是国家一壁，他是需要这样一个行业
金融管理总局会处一个管理办法处理一个国愿	金融监管总局会出一个管理办法处理一个国院
这个是个高速温路就会行业来讲	这个是个高速公路就是行业来讲
他也不是经用几个，现在就是只有这五家，他才是解用几个	他也不是仅有几个，现在就是只有这五家，他才是仅有几个
变来正曹胡生和这个行业活不成	本来正常存活和这个行业活不成
在我看来不是西洋行业	在我看来不是夕阳行业
这个是来海不是红码这是在我给他定性定性为金融告诉公路	这个是蓝海不是红海这是在我给他定性定性为金融高速公路
他是金融行业的,护城和	他是金融行业的，护城河
或者是方护强,或者是实体经济e-舰，他的衣生都可以	或者是防护墙，或者是实体经济基建，他的衣食都可以
就是一种奇迹的，就是阴加，这个比如说阴加银行他是不两债权	就是一种奇迹的，就是银行，这个比如说银行他是不良债权
要卖阴加那个好债权	要卖银行那个好债权
就是阴加干的好的不会卖给你	就是银行干的好的不会卖给你
这是一个点选的逆州区的行业	这是一个典型的逆周期的行业
必须最好是顺著期因为顺著期	必须最好是顺周期因为顺周期
要是一个房子长假,他卖	要是一个房子涨价，他卖
买了好多的在本五个喜业	买了好多的资本五个企业
怎么好像不正前他	怎么好像不正常他
光看到她光心的影片	光看到她光鲜的一面
不好的影片就是他收了这些东西好的	不好的一面就是他收了这些东西好的
因为他这个司机也是有成本的	因为他这个资金也是有成本的
司机很重要，司机就是他这次他，就是他的两世	资金很重要，资金就是他这次他，就是他的粮食
他的司机来源主要是三块，司机的资本金加上金融债和颜行贷款再加上腰脑的正车,再贷款	他的资金来源主要是三块，资金的资本金加上金融债和银行贷款再加上优先股增发，再贷款
像腰脑这个贷款他基本都只能是用于正责性相模他	像优先股这个贷款他基本都只能是用于政策性相关他
真正的来源接应了大了,也很贷款	真正的来源接近了大了，也很贷款
他最近有过外游行谷那是司机一美元	他最近有过美元债那是资金一美元
他就有一个输回窗口气，他就可以输回应	他就有一个赎回窗口期，他就可以赎回
因为美元力息高了	因为美元利息高了
他现在好像是四个团点	他现在好像是四个百分点
所以对于性达来讲司机成本有点高原来想高过老花永中心已经制产大概能高45个百分点	所以对于信达来讲资金成本有点高原来想高过华融中信净资产大概能高45个百分点
你这块对上万一的负债来讲你45个百分点一年就是几十个亿	你这块对上万亿的负债来讲你45个百分点一年就是几十个亿
你看到公道他都会有输回应有输回应,金融战输回应境外游行谷等待他现在就开始有压力了	你看到公开他都会有赎回有赎回，金融债赎回境外美元债等待他现在就开始有压力了
你像十年起管在利率，都是到1亿的层面，中心的好像是，中心听说产的好像我那一天看大概就是不到3个点2点78这样这一个他就是3点多了这个比中心静自产他这个商业模式本致上十个傻	你像十年期国债利率，都是到1%的层面，中信的好像是，中信净资产的好像我那一天看大概就是不到3个点2.78这样这一个他就是3点多了这个比中信净资产他这个商业模式本质上是干啥
就算剂之前去收购收购了以后要把它卖掉好的我留下其他的不好的我等快打抛不得卖掉	就算计之前去收购收购了以后要把它卖掉好的我留下其他的不好的我等着打包不得卖掉
他这种车乱很大的空口	他这种车辆很大的空口
他要停这个窟动	他要填这个窟窿
他回归主持主义他其实国家是给予这个不了资产处罩行业是给他整个方向就是样拟亲自本化高州转	他回归主业主义他其实国家是给予这个不良资产处置行业是给他整个方向就是要提高资本化高周转
你看他这盯的经不了资产经管理办法他其实现在不像行进去了	你看他这盯的金融不良资产管理办法他其实现在不像行进去了
他有一个核心和延行一样，核心以及资本充足率，借我，90%左右，你那个意见资本充足率好像100%，好像100%是那个中和成本率是12.5%	他有一个核心和银行一样，核心一级资本充足率，据说，9.0%左右，你那个一级资本充足率好像10%，好像10%是那个综合充足率是12.5%
他现在中报刚打标这个打标就是他自己故意为一支的因为9.0%是多了0.0%的百分点这个代表傻就是你要是一图讯了你活不能干的	他现在中报刚达标这个达标就是他自己故意为之的因为9.0%是多了0.0%的百分点这个代表啥就是你要是一触及了你活不能干的
核心以及资本是只能鼓动就是发股票或者配股	核心一级资本是只能股东就是发股票或者配股
来弄，就是鼓动骂钱，另一个是溜层利润	来弄，就是股东募钱，另一个是留存利润
其实核溜层利润就是一体两面	其实和留存利润就是一体两面
也是个机因为为什么因为他现在发育股他不是说发就发的他在国家PEE这个比较难	也是个机会因为为什么因为他现在发优先股他不是说发就发的他在国资委这个比较难
你国有资资产你不能见卖啊	你国有资资产你不能贱卖啊
他今年卖给那个卖新拿棕圈给那个	他今年卖给那个卖给新拿棕圈给那个
看看这个可以作为利润流存	看看这个可以作为利润留存
这个要领贸的时候能看出来	这个要年末的时候能看出来
比如说像腰胡骨份那种实体他大概他现在是这个赚他的这个就是百分之四百的那种比日	比如说像耀华股份那种实体他大概他现在是这个占他的这个就是百分之四百的那种比例
你建用二级像这个中京公司	你仅用二级像这个中金公司
或者不想长去累我的	或者不想长期累我的
另外一个要是有利润的能增后利润	另外一个要是有利润的能增厚利润
他大概二一太低了他要提高这个二一	他大概ROI太低了他要提高这个ROI
好多研视有点	好多延时有点
我说中心中资产还是信答	我说中信金融资产还是信达
中心中心中资产，他现在是个傻情况	中信金融资产，他现在是个啥情况
因为他那个流程是要一还是负的他要先把那个跟田上他不可能分红的虽然这个中心答他就是快逢心了因为他要流水收益要把这个核心依依资本提起来	因为他那个利润是要一还是负的他要先把那个亏损填上他不可能分红的虽然这个中信达他就是快分心了因为他要留存收益要把这个核心一级资本提起来
等待一嫩起来那就不错了	等待一年起来那就不错了
中报今天是一千九百，三十几亿	中报今天是一千九百三十几亿
中心集团，进来，他现在才好像六十百亿，八百亿的国本这个五本才三百百八十亿	中信集团，进来，他现在才好像六千八百亿，八百亿的股本这个股本才三千八百亿
原来花永无好像老花永是三百九十亿当年我头蛋的时候他的国本整个他大的一倍而他你讲讲世境率他其实六百八八十亿现在还是一架的高于境子上的	原来华融无好像老华融是三百九十亿当年我投蛋的时候他的股本整个他大的一倍而他你讲讲市净率他其实六千八百八十亿现在还是溢价的高于净资产上的
并不是我我知道他的业际会早养	并不是我我知道他的业绩会怎样
因为这种指标有一颗国有问我说这个信拿应该怎么看在我来讲你看啥看金资产和丰红就行了你只要是每年你知道金资产你一个猛你眼后就放红你爸爸的他第一位的时候都分点少分点也行少分点也能沾好多股数当然这是我的矿家这是我的做法你是杀做法你的自己仔细兵量仔细思考	因为这种指标有一堆股友问我说这个信达应该怎么看在我来讲你看啥看净资产和分红就行了你只要是每年你知道净资产你一年你然后就分红你巴巴的他低位的时候都分点少分点也行少分点也能占好多股数当然这是我的框架这是我的做法你是啥做法你的自己仔细衡量仔细思考
其实这个相信拿他这个他和其他的不良资产里面多了一个傻多了一个接用板块	其实这个像信达他这个他和其他的不良资产里面多了一个啥多了一个金融板块
他这一块就是卖上眼金顾信徒信答金租这三块还未来一年也会赚个50亿左右	他这一块就是卖商银金谷信达金租这三块还未来一年也会赚个50亿左右
因为他这个都是正想的手衣，他这个不是你手机，他是顺手机	因为他这个都是正向的收益，他这个不是逆周期，他是顺周期
不良资产这块是你手机的所以你真认看这个你就去看当年那个一七八年的时候花永出事了	不良资产这块是逆周期的所以你真认看这个你就去看当年那个17、18年的时候华融出事了
那么相信拿这样我觉得有个三年两年的挑战你看现在这个也是他问我是阿亚中心金字差好还是信答号你就嫌自嫌自	那么像信达这样我觉得有个三年两年的挑战你看现在这个也是他问我是啊呀中信金字差好还是信达好你就自己掂量
他现在去年好像正了，他去年正的比中国在保险很多	他现在去年好像挣了，他去年挣的比中国再保险很多
公运价值变动好像半年报是给你检了四十几个亿公运价值变动	公允价值变动好像半年报是给你减了四十几个亿公允价值变动
水上的灰气，那说不上你转100来亿	说上的话气，那说不上你转100来亿
那你能让信答为傻不能那信答的这个不良资产这块我觉得他华盗会监以后那也应该能起来	那你能让信达为啥不能那信达的这个不良资产这块我觉得他华融会怎样以后那也应该能起来
也就是一年赚个120一那也正常了你债120是十几个多少十倍升累十倍升累不得了多少150亿就是1500亿现在才多少你现在临信答的劝卖那个钱他只有中间公司的五分	也就是一年赚个120亿那也正常了你债120是十几个多少十倍市盈率十倍市盈率不得了多少150亿就是1500亿现在才多少你现在买信达的钱他只有中金公司的五分之一
你现在算算中间百分之十六点七，他大概好像十三亿，还是十几亿的五分，你成爷，他那个三十几块钱，中间的利润也很好那将来吃有他三年他也不仅是而且我觉得中间会监也不会一样因为这个角色不是信答中间信答的管理常用决定你想想他等于长期吃有他得股价一年你正常的一百亿那就是十六点七个亿你要是正量百亿那就是三十多个亿一年的利润	你现在算算中金百分之十六点七，他大概好像十三亿，还是十几亿的五分之一，你乘以，他那个三十几块钱，中金的利润也很好那将来持有他三年他也不仅是而且我觉得中金会怎样也不会一样因为这个角色不是信达中金信达的管理层决定你想想他等于长期持有他的股价一年你正常的一百亿那就是十六点七个亿你要是挣两百亿那就是三十多个亿一年的利润
真正就是，做股东吃分红三股数，等规则你的股要来说	真正就是，做股东吃分红算股数，等规则你的股友来说
因为我一直在给大家讲这个底层老记其实就是希望大家能从底层老记的成面来理解这些生意	因为我一直在给大家讲这个底层逻辑其实就是希望大家能从底层逻辑的层面来理解这些生意
因为投资这个事儿是一个一杯子的事儿	因为投资这个事儿是一个一辈子的事儿
你想想我刚才请别讲了那么多，你在这种信用活力时代，五毛活力时代	你想想我刚才特别讲了那么多，你在这种信用货币时代，无锚货币时代
你就是阿姨姓姓的做个核心阳光起的股东你做一个中国的基因告诉无路的股东	你就是安安心心做个核心央国企的股东你做一个中国的金融高速公路的股东
你就像我买的那个在保险和这个他这种都是毒特赛道他不是A股还没有你能检找而且A股要是你第二倍一块	你就像我买的那个再保险和这个他这种都是独特赛道他不是A股还没有你能捡到而且A股要是你跌破一块
其实教税给果家也是应该的我最看不上的他就是一看那个DS来踢出港股通这一个特别的对我们不公平你不然的话便一三毛五毛的你像那个在保险当年跌破四毛你不都买了这个对我们来说是非一场非常不公平但是抱怨也没用只能是给杀吃傻吧就是这个样子先早晨就跟大家说这么多	其实交税给国家也是应该的我最看不上的他就是一看那个低价股被踢出港股通这一个特别的对我们不公平你不然的话便宜三毛五毛的你像那个再保险当年跌破四毛你不都买了这个对我们来说是非常非常不公平但是抱怨也没用只能是各杀吃傻吧就是这个样子先早晨就跟大家说这么多
曾经权力的年轻人或者是说。就是权力的家长	有权力的年轻人或者是说。就是有权力的家长
他也知道前有用	他也知道钱有用
我就见著这个就是早晨的聊天	我就见着这个就是早晨的聊天
听著很高大上	听着很高大上
